s_date,time,receipt_no,member_code,member_type,product_code,unit,quan,price,netextvat,nettotal,r_vatamt,unitcost,totalcost
03 01 2020,08:26:45,53679,,,8.85E+12,PK,1,135,126.17,135,8.83,91.8787,91.88
03 01 2020,08:33:29,53680,11142,2,8.85E+12,PK,10,145,1355.14,1450,94.86,113.6445,1136.45
03 01 2020,08:33:41,53680,11142,2,8.85E+12,PK,7,140,915.89,980,64.11,104.6467,732.53
03 01 2020,08:34:03,53680,11142,2,8.85E+12,PK,7,115,752.34,805,52.66,91.8787,643.15
03 01 2020,08:34:23,53680,11142,2,8.85E+12,PK,10,110,1028.04,1100,71.96,87.0094,870.09
03 01 2020,08:35:32,53680,11142,2,8.85E+12,PK,4,145,542.05,580,37.95,113.6446,454.58
03 01 2020,08:38:30,53681,,,8.86E+12,PK,1,108,108,108,0,80.4,80.4
03 01 2020,08:41:23,53682,10609,2,8.86E+12,PK,4,135,540,540,0,98,392
03 01 2020,08:41:44,53682,10609,2,8.86E+12,KG,4,140,560,560,0,106,424
03 01 2020,08:41:56,53682,10609,2,8.86E+12,PK,4,90,360,360,0,69,276
03 01 2020,08:43:08,53682,10609,2,8.86E+12,PK,3,140,420,420,0,104,312
03 01 2020,08:43:21,53682,10609,2,8.86E+12,PK,5,40,200,200,0,35,175
03 01 2020,09:29:28,53683,,,8.85E+12,PK,1,100,93.46,100,6.54,83.4584,83.46
03 01 2020,09:30:06,53684,,,8.86E+12,PK,1,135,135,135,0,95.2686,95.27
03 01 2020,09:32:31,53685,10616,1,8.86E+12,PK,8,120,960,960,0,90,720
03 01 2020,09:48:54,53686,10578,2,8.86E+12,KG,25,68,1700,1700,0,55,1375
03 01 2020,09:49:41,53686,10578,2,8.86E+12,PK,1,385,385,385,0,382.78,382.78
03 01 2020,09:53:57,53687,,,8.86E+12,PK,20,70,1400,1400,0,42,840
03 01 2020,10:17:59,53688,,,8.86E+12,PK,3.33,150,499.5,499.5,0,101.9994,339.66
